spider_dt,auctionEnd_d,name,category,condition,price,est_price,bids,views,state,photoUrl,link
12.01.2022 00:29:15,06-01-2022, Katalog 47 aukcji WCN,literatura numizmatyczna,I,32,40,2,54,zakończona,https://eauctions/220106/details/175512/literatura-numizmatyczna-Katalog-47-aukcji-WCN-4112011,https://wcn.pl/eauctions/220106/details/175512/literatura-numizmatyczna-Katalog-47-aukcji-WCN-4112011
12.01.2022 00:29:15,06-01-2022, Katalog aukcyjny jubileuszowej 50. aukcji WCN: Borys Paszkiewicz – Podobna..,literatura numizmatyczna,I,70,100,3,56,zakończona,https://eauctions/220106/details/175513/literatura-numizmatyczna-Katalog-aukcyjny-jubileuszowej-50-aukcji-WCN-Borys-Paszkiewicz-Podobna,https://wcn.pl/eauctions/220106/details/175513/literatura-numizmatyczna-Katalog-aukcyjny-jubileuszowej-50-aukcji-WCN-Borys-Paszkiewicz-Podobna
12.01.2022 00:29:15,06-01-2022, Katalog aukcyjny 65. aukcji WCN: Witold Garbaczewski – Piękno monety polsk..,literatura numizmatyczna,I,75,100,3,54,zakończona,https://eauctions/220106/details/175514/literatura-numizmatyczna-Katalog-aukcyjny-65-aukcji-WCN-Witold-Garbaczewski-Piekno-monety-polsk,https://wcn.pl/eauctions/220106/details/175514/literatura-numizmatyczna-Katalog-aukcyjny-65-aukcji-WCN-Witold-Garbaczewski-Piekno-monety-polsk
12.01.2022 00:29:15,06-01-2022, Stronczyński Kazimierz – Pieniądze Piastów od czasów najdawniejszych do ro..,wydawnictwa polskie,I-,260,70,9,339,zakończona,https://eauctions/220106/details/175515/wydawnictwa-polskie-Stronczynski-Kazimierz-Pieniadze-Piastow-od-czasow-najdawniejszych-do-ro,https://wcn.pl/eauctions/220106/details/175515/wydawnictwa-polskie-Stronczynski-Kazimierz-Pieniadze-Piastow-od-czasow-najdawniejszych-do-ro
12.01.2022 00:29:15,14-10-2021, Katalog aukcyjny jubileuszowej 50. aukcji WCN: Borys Paszkiewicz – Podobna..,literatura numizmatyczna,I,85,100,3,95,zakończona,https://eauctions/211014/details/170046/literatura-numizmatyczna-Katalog-aukcyjny-jubileuszowej-50-aukcji-WCN-Borys-Paszkiewicz-Podobna,https://wcn.pl/eauctions/211014/details/170046/literatura-numizmatyczna-Katalog-aukcyjny-jubileuszowej-50-aukcji-WCN-Borys-Paszkiewicz-Podobna
12.01.2022 00:29:15,06-01-2022, zestaw 2 tytułów,wydawnictwa polskie,I/I-,185,120,7,243,zakończona,https://eauctions/220106/details/175516/wydawnictwa-polskie-zestaw-2-tytulow,https://wcn.pl/eauctions/220106/details/175516/wydawnictwa-polskie-zestaw-2-tytulow
12.01.2022 00:29:15,14-10-2021, Iger Tadeusz – Katalog Trojaków Polskich,wydawnictwa polskie,I,600,300,11,325,zakończona,https://eauctions/211014/details/170047/wydawnictwa-polskie-Iger-Tadeusz-Katalog-Trojakow-Polskich-Warszawa-2008-ISBN-9788392333241,https://wcn.pl/eauctions/211014/details/170047/wydawnictwa-polskie-Iger-Tadeusz-Katalog-Trojakow-Polskich-Warszawa-2008-ISBN-9788392333241
12.01.2022 00:29:15,07-10-2021, klaser na banknoty po kolekcji Lucow,akcesoria numizmatyczne,I/I-,330,150,6,211,zakończona,https://eauctions/211007/details/169725/akcesoria-numizmatyczne-klaser-na-banknoty-po-kolekcji-Lucow,https://wcn.pl/eauctions/211007/details/169725/akcesoria-numizmatyczne-klaser-na-banknoty-po-kolekcji-Lucow
12.01.2022 00:29:15,16-09-2021, Katalog aukcyjny jubileuszowej 50. aukcji WCN: Borys Paszkiewicz – Podobna..,literatura numizmatyczna,I,75,100,3,106,zakończona,https://eauctions/210916/details/168568/literatura-numizmatyczna-Katalog-aukcyjny-jubileuszowej-50-aukcji-WCN-Borys-Paszkiewicz-Podobna,https://wcn.pl/eauctions/210916/details/168568/literatura-numizmatyczna-Katalog-aukcyjny-jubileuszowej-50-aukcji-WCN-Borys-Paszkiewicz-Podobna
12.01.2022 00:29:15,06-01-2022, Kurpiewski Janusz – Katalog monet polskich 1506-1573 (Zygmunt I Stary,wydawnictwa polskie,I,60,40,5,70,zakończona,https://eauctions/220106/details/175517/wydawnictwa-polskie-Kurpiewski-Janusz-Katalog-monet-polskich-1506-1573-Zygmunt-I-Stary-Zyg,https://wcn.pl/eauctions/220106/details/175517/wydawnictwa-polskie-Kurpiewski-Janusz-Katalog-monet-polskich-1506-1573-Zygmunt-I-Stary-Zyg
12.01.2022 00:29:15,30-09-2021, Katalog aukcyjny jubileuszowej 50. aukcji WCN: Borys Paszkiewicz – Podobna..,literatura numizmatyczna,I,85,100,3,123,zakończona,https://eauctions/210930/details/169307/literatura-numizmatyczna-Katalog-aukcyjny-jubileuszowej-50-aukcji-WCN-Borys-Paszkiewicz-Podobna,https://wcn.pl/eauctions/210930/details/169307/literatura-numizmatyczna-Katalog-aukcyjny-jubileuszowej-50-aukcji-WCN-Borys-Paszkiewicz-Podobna
12.01.2022 00:29:15,23-09-2021, klaser na banknoty po kolekcji Lucow,akcesoria numizmatyczne,I/I-,220,150,7,208,zakończona,https://eauctions/210923/details/168885/akcesoria-numizmatyczne-klaser-na-banknoty-po-kolekcji-Lucow,https://wcn.pl/eauctions/210923/details/168885/akcesoria-numizmatyczne-klaser-na-banknoty-po-kolekcji-Lucow
12.01.2022 00:29:15,09-09-2021, klaser na banknoty po kolekcji Lucow,akcesoria numizmatyczne,I/I-,135,100,4,154,zakończona,https://eauctions/210909/details/168044/akcesoria-numizmatyczne-klaser-na-banknoty-po-kolekcji-Lucow,https://wcn.pl/eauctions/210909/details/168044/akcesoria-numizmatyczne-klaser-na-banknoty-po-kolekcji-Lucow
12.01.2022 00:29:15,14-10-2021, zestaw 2 cenników,wydawnictwa polskie,I,24,40,1,88,zakończona,https://eauctions/211014/details/170048/wydawnictwa-polskie-zestaw-2-cennikow,https://wcn.pl/eauctions/211014/details/170048/wydawnictwa-polskie-zestaw-2-cennikow
12.01.2022 00:29:15,07-10-2021, klaser na banknoty po kolekcji Lucow,akcesoria numizmatyczne,I/I-,300,150,7,178,zakończona,https://eauctions/211007/details/169726/akcesoria-numizmatyczne-klaser-na-banknoty-po-kolekcji-Lucow,https://wcn.pl/eauctions/211007/details/169726/akcesoria-numizmatyczne-klaser-na-banknoty-po-kolekcji-Lucow
12.01.2022 00:29:15,21-10-2021, tabela rozliczenia handlu tabaką w roku 1775,Polska,I-,38,20,7,337,zakończona,https://eauctions/211021/details/170320/Polska-tabela-rozliczenia-handlu-tabaka-w-roku-1775,https://wcn.pl/eauctions/211021/details/170320/Polska-tabela-rozliczenia-handlu-tabaka-w-roku-1775
12.01.2022 00:29:15,16-09-2021, Szwagrzyk Józef Andrzej – Pieniądz na ziemiach polskich,wydawnictwa polskie,I/I-,90,75,4,127,zakończona,https://eauctions/210916/details/168569/wydawnictwa-polskie-Szwagrzyk-Jozef-Andrzej-Pieniadz-na-ziemiach-polskich-Wydawnictwo-Ossol,https://wcn.pl/eauctions/210916/details/168569/wydawnictwa-polskie-Szwagrzyk-Jozef-Andrzej-Pieniadz-na-ziemiach-polskich-Wydawnictwo-Ossol
12.01.2022 00:29:15,06-01-2022, Dutkowski Jarosław – Złoto czasów dynastii Wazów (The Gold of the Wasa dyn..,wydawnictwa polskie,I/I-,195,200,8,102,zakończona,https://eauctions/220106/details/175518/wydawnictwa-polskie-Dutkowski-Jaroslaw-Zloto-czasow-dynastii-Wazow-The-Gold-of-the-Wasa-dyn,https://wcn.pl/eauctions/220106/details/175518/wydawnictwa-polskie-Dutkowski-Jaroslaw-Zloto-czasow-dynastii-Wazow-The-Gold-of-the-Wasa-dyn
12.01.2022 00:29:15,30-09-2021, Kałkowski Tadeusz – Tysiąc Lat Monety Polskiej,wydawnictwa polskie,I-/II+,105,80,5,117,zakończona,https://eauctions/210930/details/169308/wydawnictwa-polskie-Kalkowski-Tadeusz-Tysiac-Lat-Monety-Polskiej,https://wcn.pl/eauctions/210930/details/169308/wydawnictwa-polskie-Kalkowski-Tadeusz-Tysiac-Lat-Monety-Polskiej
12.01.2022 00:29:15,23-09-2021, klaser na banknoty po kolekcji Lucow,akcesoria numizmatyczne,I/I-,260,100,8,209,zakończona,https://eauctions/210923/details/168886/akcesoria-numizmatyczne-klaser-na-banknoty-po-kolekcji-Lucow,https://wcn.pl/eauctions/210923/details/168886/akcesoria-numizmatyczne-klaser-na-banknoty-po-kolekcji-Lucow
12.01.2022 00:29:15,09-09-2021, klaser na banknoty po kolekcji Lucow,akcesoria numizmatyczne,I/I-,220,150,5,127,zakończona,https://eauctions/210909/details/168045/akcesoria-numizmatyczne-klaser-na-banknoty-po-kolekcji-Lucow,https://wcn.pl/eauctions/210909/details/168045/akcesoria-numizmatyczne-klaser-na-banknoty-po-kolekcji-Lucow
12.01.2022 00:29:15,28-10-2021, Katalog 47 aukcji WCN,literatura numizmatyczna,I,0,24,0,74,zakończona,https://eauctions/211028/details/149988/literatura-numizmatyczna-Katalog-47-aukcji-WCN-4112011,https://wcn.pl/eauctions/211028/details/149988/literatura-numizmatyczna-Katalog-47-aukcji-WCN-4112011
12.01.2022 00:29:15,14-10-2021, Sarosiek Jacek – Money of the Lodz Ghetto 1940–1944,wydawnictwa polskie,I,320,200,7,213,zakończona,https://eauctions/211014/details/170049/wydawnictwa-polskie-Sarosiek-Jacek-Money-of-the-Lodz-Ghetto-19401944-Bialystok-2017-ISBN-,https://wcn.pl/eauctions/211014/details/170049/wydawnictwa-polskie-Sarosiek-Jacek-Money-of-the-Lodz-Ghetto-19401944-Bialystok-2017-ISBN-
12.01.2022 00:29:15,04-11-2021, Odpis aktu poświadczającego tożsamość (?),Polska,III/IV,50,25,5,276,zakończona,https://eauctions/211104/details/171228/Polska-Odpis-aktu-poswiadczajacego-tozsamosc-1825,https://wcn.pl/eauctions/211104/details/171228/Polska-Odpis-aktu-poswiadczajacego-tozsamosc-1825
12.01.2022 00:29:15,07-10-2021, 1 akcja na 25 złotych,Polska,II,46,30,7,133,zakończona,https://eauctions/211007/details/169727/Polska-1-akcja-na-25-zlotych-1919,https://wcn.pl/eauctions/211007/details/169727/Polska-1-akcja-na-25-zlotych-1919
12.01.2022 00:29:15,11-11-2021, Katalog 47 aukcji WCN,literatura numizmatyczna,I,24,40,1,69,zakończona,https://eauctions/211111/details/146181/literatura-numizmatyczna-Katalog-47-aukcji-WCN-4112011,https://wcn.pl/eauctions/211111/details/146181/literatura-numizmatyczna-Katalog-47-aukcji-WCN-4112011
12.01.2022 00:29:15,21-10-2021, akcja na 500 złotych,Polska,II,55,25,8,132,zakończona,https://eauctions/211021/details/170321/Polska-akcja-na-500-zlotych-10121927,https://wcn.pl/eauctions/211021/details/170321/Polska-akcja-na-500-zlotych-10121927
12.01.2022 00:29:15,16-09-2021, zestaw 2 cenników,wydawnictwa polskie,I,40,40,3,96,zakończona,https://eauctions/210916/details/168570/wydawnictwa-polskie-zestaw-2-cennikow,https://wcn.pl/eauctions/210916/details/168570/wydawnictwa-polskie-zestaw-2-cennikow
12.01.2022 00:29:15,06-01-2022, Paszkiewicz Borys – Monety zastępcze Śląska,wydawnictwa polskie,I/I-,22,20,3,45,zakończona,https://eauctions/220106/details/172655/wydawnictwa-polskie-Paszkiewicz-Borys-Monety-zastepcze-Slaska-Klodzka-i-Luzyc-18001960-ka,https://wcn.pl/eauctions/220106/details/172655/wydawnictwa-polskie-Paszkiewicz-Borys-Monety-zastepcze-Slaska-Klodzka-i-Luzyc-18001960-ka
12.01.2022 00:29:15,18-11-2021, 1/2 marki,Polska,I,300,200,14,252,zakończona,https://eauctions/211118/details/172166/Polska-12-marki-4041918,https://wcn.pl/eauctions/211118/details/172166/Polska-12-marki-4041918
